time,open,high,low,close,tick_volume,spread,real_volume
2024-05-07 12:00:00,2315.64,2317.35,2309.98,2315.96,17302,20,0
2024-05-07 16:00:00,2316.02,2323.61,2312.39,2312.48,27231,20,0
2024-05-07 20:00:00,2312.52,2317.4,2311.04,2313.9,9993,20,0
2024-05-08 00:00:00,2313.78,2316.79,2313.64,2314.13,4693,20,0
2024-05-08 04:00:00,2314.14,2319.32,2306.92,2319.24,16238,20,0
2024-05-08 08:00:00,2319.25,2321.37,2303.59,2307.31,17851,20,0
2024-05-08 12:00:00,2307.29,2318.9,2307.01,2314.54,19113,20,0
2024-05-08 16:00:00,2314.53,2321.01,2306.76,2317.03,27471,20,0
2024-05-08 20:00:00,2317.08,2317.51,2307.92,2308.96,9559,20,0
2024-05-09 00:00:00,2309.53,2310.91,2307.82,2309.27,5112,20,0
2024-05-09 04:00:00,2309.27,2315.2,2307.86,2314.47,13732,20,0
2024-05-09 08:00:00,2314.49,2319.75,2307.53,2310.42,18113,20,0
2024-05-09 12:00:00,2310.41,2329.29,2306.66,2326.65,19295,20,0
2024-05-09 16:00:00,2326.68,2338.74,2312.08,2329.77,33429,20,0
2024-05-09 20:00:00,2329.74,2347.18,2329.24,2346.14,13374,20,0
2024-05-10 00:00:00,2346.23,2348.93,2345.24,2347.57,5577,20,0
2024-05-10 04:00:00,2347.55,2355.79,2347.14,2353.93,19615,20,0
2024-05-10 08:00:00,2353.92,2372.04,2353.73,2369.55,22460,20,0
2024-05-10 12:00:00,2369.56,2378.39,2361.64,2364.79,23783,20,0
2024-05-10 16:00:00,2364.74,2372.93,2356.54,2368.25,33797,20,0
2024-05-10 20:00:00,2368.28,2370.89,2359.75,2360.52,10610,20,0
2024-05-13 00:00:00,2361.75,2364.45,2359.73,2364.0,6021,19,0
2024-05-13 04:00:00,2363.97,2364.12,2354.26,2354.28,16638,20,0
2024-05-13 08:00:00,2354.29,2355.04,2341.59,2343.22,17880,20,0
2024-05-13 12:00:00,2343.23,2349.74,2338.35,2347.07,21791,20,0
2024-05-13 16:00:00,2347.05,2349.33,2332.06,2336.68,31910,20,0
2024-05-13 20:00:00,2336.67,2338.42,2334.44,2336.66,9344,20,0
2024-05-14 00:00:00,2336.84,2339.7,2334.79,2336.37,4438,20,0
2024-05-14 04:00:00,2336.35,2344.86,2336.35,2344.05,15470,20,0
2024-05-14 08:00:00,2344.0,2345.85,2336.07,2343.73,17138,20,0
2024-05-14 12:00:00,2343.71,2350.15,2336.55,2348.16,21652,20,0
2024-05-14 16:00:00,2348.17,2356.91,2344.85,2354.16,36069,20,0
2024-05-14 20:00:00,2354.18,2359.59,2352.0,2357.97,11211,20,0
2024-05-15 00:00:00,2357.96,2358.12,2354.86,2355.83,5593,20,0
2024-05-15 04:00:00,2355.84,2360.93,2354.88,2356.95,16352,20,0
2024-05-15 08:00:00,2356.94,2374.14,2355.71,2373.18,20280,20,0
2024-05-15 12:00:00,2373.23,2378.83,2359.18,2372.55,25482,20,0
2024-05-15 16:00:00,2372.51,2386.72,2351.82,2383.5,43090,20,0
2024-05-15 20:00:00,2383.61,2390.2,2383.57,2386.15,16352,20,0
2024-05-16 00:00:00,2385.45,2395.12,2385.08,2395.01,9810,20,0
2024-05-16 04:00:00,2395.0,2397.3,2386.54,2391.29,26759,20,0
2024-05-16 08:00:00,2391.3,2394.41,2384.69,2386.0,22436,20,0
2024-05-16 12:00:00,2385.99,2387.72,2377.96,2379.09,22660,20,0
2024-05-16 16:00:00,2379.08,2383.71,2370.88,2381.89,33013,20,0
2024-05-16 20:00:00,2381.9,2382.38,2375.83,2376.67,10180,20,0
2024-05-17 00:00:00,2377.11,2379.68,2376.9,2377.96,4804,20,0
2024-05-17 04:00:00,2378.05,2381.19,2373.9,2378.81,14813,20,0
2024-05-17 08:00:00,2378.8,2387.8,2378.53,2384.22,19830,20,0
2024-05-17 12:00:00,2384.21,2393.95,2381.72,2393.26,18424,20,0
2024-05-17 16:00:00,2393.26,2419.04,2393.26,2407.79,39605,20,0
2024-05-17 20:00:00,2407.8,2422.65,2405.71,2414.13,19152,20,0
2024-05-20 00:00:00,2417.75,2426.5,2416.45,2425.4,12708,20,0
2024-05-20 04:00:00,2425.39,2440.57,2425.39,2437.29,25501,20,0
2024-05-20 08:00:00,2437.3,2450.0,2431.87,2440.03,29017,20,0
2024-05-20 12:00:00,2440.08,2447.11,2407.25,2413.8,30343,20,0
2024-05-20 16:00:00,2413.43,2428.04,2410.34,2426.49,36803,20,0
2024-05-20 20:00:00,2426.51,2437.3,2423.27,2425.16,17926,20,0
2024-05-21 00:00:00,2426.62,2430.47,2424.34,2428.82,6872,20,0
2024-05-21 04:00:00,2428.81,2433.03,2406.14,2412.36,30346,20,0
2024-05-21 08:00:00,2412.37,2422.05,2408.58,2418.74,26635,20,0
2024-05-21 12:00:00,2418.68,2429.9,2412.06,2426.21,23410,20,0
2024-05-21 16:00:00,2426.32,2433.88,2417.92,2422.81,39732,20,0
2024-05-21 20:00:00,2422.83,2424.97,2417.33,2420.77,13086,20,0
2024-05-22 00:00:00,2421.26,2423.12,2420.37,2420.52,5560,20,0
2024-05-22 04:00:00,2420.53,2426.47,2412.11,2412.87,23318,20,0
2024-05-22 08:00:00,2412.82,2418.44,2410.57,2416.83,25218,20,0
2024-05-22 12:00:00,2416.83,2419.26,2404.64,2412.43,25263,20,0
2024-05-22 16:00:00,2412.42,2413.22,2382.18,2391.88,40270,20,0
2024-05-22 20:00:00,2391.87,2394.31,2374.95,2377.97,22982,20,0
2024-05-23 00:00:00,2379.57,2383.65,2378.67,2380.31,7366,20,0
2024-05-23 04:00:00,2380.3,2381.88,2366.68,2372.78,24642,20,0
2024-05-23 08:00:00,2372.77,2373.1,2354.9,2360.47,28606,20,0
2024-05-23 12:00:00,2360.45,2369.38,2358.71,2362.6,23779,20,0
2024-05-23 16:00:00,2362.76,2369.78,2339.98,2340.94,43217,20,0
2024-05-23 20:00:00,2340.93,2342.92,2326.98,2328.44,19199,20,0
2024-05-24 00:00:00,2328.9,2333.62,2327.38,2329.05,6456,20,0
2024-05-24 04:00:00,2329.02,2335.15,2325.32,2335.04,20939,20,0
2024-05-24 08:00:00,2334.81,2340.97,2333.14,2340.09,20616,20,0
2024-05-24 12:00:00,2340.1,2343.85,2336.25,2339.32,20018,20,0
2024-05-24 16:00:00,2339.31,2347.31,2332.32,2334.19,30847,20,0
2024-05-24 20:00:00,2334.2,2336.72,2331.81,2333.98,10025,20,0
2024-05-27 00:00:00,2335.81,2340.66,2332.27,2336.19,6677,19,0
2024-05-27 04:00:00,2336.15,2347.55,2334.61,2342.97,16663,20,0
2024-05-27 08:00:00,2342.93,2346.14,2338.02,2344.18,16281,20,0
2024-05-27 12:00:00,2344.19,2349.57,2342.36,2347.18,14784,20,0
2024-05-27 16:00:00,2347.29,2358.42,2344.53,2354.92,25073,20,0
2024-05-27 20:00:00,2354.93,2355.05,2350.71,2351.53,947,20,0
2024-05-28 00:00:00,2351.57,2353.8,2351.02,2351.71,5488,29,0
2024-05-28 04:00:00,2351.73,2356.35,2349.12,2351.0,19199,20,0
2024-05-28 08:00:00,2350.96,2353.69,2340.23,2344.88,23138,20,0
2024-05-28 12:00:00,2344.85,2357.09,2342.22,2353.17,19330,20,0
2024-05-28 16:00:00,2353.17,2363.98,2347.86,2356.61,38762,20,0
2024-05-28 20:00:00,2356.62,2361.09,2352.77,2361.08,15099,20,0
2024-05-29 00:00:00,2360.97,2362.66,2357.33,2357.82,6417,20,0
2024-05-29 04:00:00,2357.83,2360.84,2354.36,2358.25,19501,20,0
2024-05-29 08:00:00,2358.32,2361.28,2344.77,2345.46,25734,20,0
2024-05-29 12:00:00,2345.45,2347.28,2334.48,2337.6,22850,20,0
2024-05-29 16:00:00,2337.61,2347.09,2335.93,2341.91,31934,20,0
2024-05-29 20:00:00,2341.83,2344.29,2335.98,2338.3,11304,20,0
2024-05-30 00:00:00,2338.08,2339.17,2333.96,2336.92,7985,20,0
2024-05-30 04:00:00,2336.97,2339.82,2328.0,2335.24,25969,20,0
2024-05-30 08:00:00,2335.23,2337.61,2322.56,2335.0,27481,20,0
2024-05-30 12:00:00,2334.99,2345.18,2330.57,2341.28,26441,20,0
2024-05-30 16:00:00,2341.28,2351.69,2339.76,2347.87,34809,20,0
2024-05-30 20:00:00,2347.87,2348.81,2339.81,2343.02,11301,20,0
2024-05-31 00:00:00,2344.13,2347.49,2342.02,2346.32,7958,20,0
2024-05-31 04:00:00,2346.31,2347.69,2336.94,2344.14,24695,20,0
2024-05-31 08:00:00,2344.09,2347.04,2339.63,2343.22,20646,20,0
2024-05-31 12:00:00,2343.21,2356.69,2340.97,2354.78,20777,20,0
2024-05-31 16:00:00,2354.77,2359.66,2327.72,2332.85,43575,20,0
2024-05-31 20:00:00,2332.84,2333.79,2320.52,2327.76,18919,20,0
2024-06-03 00:00:00,2328.81,2329.35,2323.31,2327.13,8230,19,0
2024-06-03 04:00:00,2327.11,2331.0,2320.04,2321.32,22241,20,0
2024-06-03 08:00:00,2321.28,2328.74,2314.71,2325.48,25895,20,0
2024-06-03 12:00:00,2325.47,2334.32,2324.28,2333.99,21463,20,0
2024-06-03 16:00:00,2333.97,2350.11,2329.75,2349.11,37080,20,0
2024-06-03 20:00:00,2349.04,2354.68,2344.71,2350.6,14746,20,0
2024-06-04 00:00:00,2350.97,2352.8,2349.81,2350.62,5956,20,0
2024-06-04 04:00:00,2350.61,2352.32,2343.1,2349.31,19221,20,0
2024-06-04 08:00:00,2349.19,2351.69,2332.22,2333.26,25172,20,0
2024-06-04 12:00:00,2333.31,2335.92,2325.3,2335.11,28984,20,0
2024-06-04 16:00:00,2335.11,2337.94,2315.59,2324.0,39892,20,0
2024-06-04 20:00:00,2323.95,2330.34,2323.76,2326.84,13663,20,0
2024-06-05 00:00:00,2326.66,2329.64,2326.66,2328.16,5307,20,0
2024-06-05 04:00:00,2328.18,2338.16,2325.88,2338.0,18527,20,0
2024-06-05 08:00:00,2338.01,2341.56,2328.06,2332.61,21915,20,0
2024-06-05 12:00:00,2332.61,2343.85,2329.44,2342.16,20808,20,0
2024-06-05 16:00:00,2342.0,2357.35,2334.08,2352.64,38118,20,0
2024-06-05 20:00:00,2352.65,2356.69,2351.67,2354.97,12084,20,0
2024-06-06 00:00:00,2356.73,2357.52,2354.55,2355.71,5862,20,0
2024-06-06 04:00:00,2355.66,2374.91,2355.54,2369.42,24881,20,0
2024-06-06 08:00:00,2369.41,2371.36,2359.75,2362.86,19919,20,0
2024-06-06 12:00:00,2362.94,2365.17,2355.18,2357.53,20476,20,0
2024-06-06 16:00:00,2357.59,2378.48,2353.45,2372.87,39166,20,0
2024-06-06 20:00:00,2372.88,2376.04,2368.93,2375.85,17529,20,0
2024-06-07 00:00:00,2375.88,2379.15,2375.59,2378.37,5667,20,0
2024-06-07 04:00:00,2378.44,2387.35,2369.39,2386.65,23363,20,0
2024-06-07 08:00:00,2386.66,2387.67,2342.65,2347.28,29534,20,0
2024-06-07 12:00:00,2347.19,2347.94,2313.61,2319.3,32651,20,0
2024-06-07 16:00:00,2319.25,2327.99,2302.96,2311.62,40405,20,0
2024-06-07 20:00:00,2311.61,2312.3,2286.75,2293.43,19140,20,0
2024-06-10 00:00:00,2294.99,2300.04,2289.87,2297.0,10110,19,0
2024-06-10 04:00:00,2296.96,2301.22,2292.71,2294.78,14474,20,0
2024-06-10 08:00:00,2294.78,2297.47,2287.66,2292.6,21462,20,0
2024-06-10 12:00:00,2292.59,2308.69,2291.84,2306.16,20850,20,0
2024-06-10 16:00:00,2306.15,2313.71,2300.34,2312.9,28100,20,0
2024-06-10 20:00:00,2312.9,2313.35,2308.45,2310.77,9712,20,0
2024-06-11 00:00:00,2311.74,2312.31,2308.77,2310.8,5671,20,0
2024-06-11 04:00:00,2310.8,2310.8,2298.75,2303.55,25062,20,0
2024-06-11 08:00:00,2303.51,2307.67,2297.66,2305.99,20684,20,0
2024-06-11 12:00:00,2305.95,2319.85,2301.44,2317.93,20662,20,0
2024-06-11 16:00:00,2317.92,2319.46,2305.85,2308.46,31740,20,0
2024-06-11 20:00:00,2308.48,2316.84,2307.87,2316.84,11434,20,0
2024-06-12 00:00:00,2317.03,2317.59,2313.43,2313.75,5985,20,0
2024-06-12 04:00:00,2313.73,2316.66,2310.67,2312.7,19247,20,0
2024-06-12 08:00:00,2312.7,2317.71,2310.76,2312.8,15987,20,0
2024-06-12 12:00:00,2312.76,2337.6,2311.6,2335.96,19851,20,0
2024-06-12 16:00:00,2335.96,2341.51,2320.05,2337.65,37718,20,0
2024-06-12 20:00:00,2337.64,2339.53,2315.83,2324.35,29270,20,0
2024-06-13 00:00:00,2325.05,2325.22,2317.57,2320.76,7231,20,0
2024-06-13 04:00:00,2320.74,2321.51,2308.14,2311.79,23246,20,0
2024-06-13 08:00:00,2311.8,2318.53,2308.97,2315.53,19213,20,0
2024-06-13 12:00:00,2315.52,2326.58,2303.93,2323.33,23193,20,0
2024-06-13 16:00:00,2323.24,2324.73,2295.58,2299.34,37574,20,0
2024-06-13 20:00:00,2299.25,2304.93,2299.06,2304.0,11874,20,0
2024-06-14 00:00:00,2304.05,2305.66,2301.51,2304.93,5822,20,0
2024-06-14 04:00:00,2304.93,2308.59,2303.07,2305.92,20556,20,0
2024-06-14 08:00:00,2305.91,2321.56,2305.52,2317.34,23324,20,0
2024-06-14 12:00:00,2317.36,2336.53,2315.22,2330.34,28840,20,0
2024-06-14 16:00:00,2330.34,2335.34,2324.02,2328.79,32992,20,0
2024-06-14 20:00:00,2328.88,2335.5,2328.48,2332.7,13475,20,0
2024-06-17 00:00:00,2331.45,2332.79,2325.24,2326.35,7475,20,0
2024-06-17 04:00:00,2326.34,2328.94,2321.52,2323.64,19010,20,0
2024-06-17 08:00:00,2323.62,2323.64,2315.45,2321.28,21463,20,0
2024-06-17 12:00:00,2321.29,2322.56,2316.79,2319.58,19635,20,0
2024-06-17 16:00:00,2319.56,2327.51,2310.01,2316.95,29232,20,0
2024-06-17 20:00:00,2316.95,2320.75,2313.3,2319.07,11628,20,0
2024-06-18 00:00:00,2319.22,2325.53,2319.18,2324.04,6074,20,0
2024-06-18 04:00:00,2324.08,2325.65,2319.21,2322.55,18852,20,0
2024-06-18 08:00:00,2322.54,2323.72,2310.68,2311.27,18609,20,0
2024-06-18 12:00:00,2311.2,2324.05,2306.57,2313.9,21691,20,0
2024-06-18 16:00:00,2313.91,2330.69,2313.69,2330.23,31486,20,0
2024-06-18 20:00:00,2330.27,2333.09,2327.42,2329.31,11229,20,0
2024-06-19 00:00:00,2329.71,2330.38,2327.5,2329.47,4269,20,0
2024-06-19 04:00:00,2329.46,2331.73,2326.5,2327.95,12700,20,0
2024-06-19 08:00:00,2327.94,2334.96,2326.84,2332.52,13728,20,0
2024-06-19 12:00:00,2332.51,2332.83,2325.22,2328.31,14846,20,0
2024-06-19 16:00:00,2328.33,2331.38,2323.68,2329.4,15776,20,0
2024-06-19 20:00:00,2329.42,2331.02,2328.12,2328.26,1904,20,0
2024-06-20 00:00:00,2329.2,2330.58,2327.73,2329.68,4660,20,0
2024-06-20 04:00:00,2329.7,2340.9,2329.7,2340.42,21001,20,0
2024-06-20 08:00:00,2340.43,2345.53,2332.57,2333.32,23105,20,0
2024-06-20 12:00:00,2333.27,2343.59,2331.52,2338.5,19521,20,0
2024-06-20 16:00:00,2338.47,2365.42,2336.66,2356.33,32626,20,0
2024-06-20 20:00:00,2356.34,2360.98,2354.58,2359.4,10176,20,0
2024-06-21 00:00:00,2360.28,2364.78,2358.14,2364.06,6703,20,0
2024-06-21 04:00:00,2364.08,2364.13,2357.09,2362.93,18976,20,0
2024-06-21 08:00:00,2362.92,2368.03,2355.11,2365.33,21516,20,0
2024-06-21 12:00:00,2365.34,2368.69,2360.41,2360.61,19186,20,0
2024-06-21 16:00:00,2360.59,2363.66,2323.31,2324.68,37229,20,0
2024-06-21 20:00:00,2324.67,2325.06,2316.72,2321.44,14446,20,0
2024-06-24 00:00:00,2322.89,2322.95,2317.66,2320.91,7613,19,0
2024-06-24 04:00:00,2320.92,2326.63,2318.98,2324.44,21676,20,0
2024-06-24 08:00:00,2324.44,2332.72,2321.39,2330.52,18801,20,0
2024-06-24 12:00:00,2330.53,2330.93,2320.76,2327.58,20562,20,0
2024-06-24 16:00:00,2327.59,2333.84,2325.9,2331.65,25394,20,0
2024-06-24 20:00:00,2331.64,2334.58,2330.56,2333.7,9815,20,0
2024-06-25 00:00:00,2334.05,2334.55,2328.23,2330.01,5295,20,0
2024-06-25 04:00:00,2329.98,2330.94,2322.71,2327.4,18840,20,0
2024-06-25 08:00:00,2327.33,2330.47,2322.77,2329.57,19082,20,0
2024-06-25 12:00:00,2329.56,2337.02,2324.02,2324.12,19127,20,0
2024-06-25 16:00:00,2324.13,2328.17,2315.39,2317.83,29784,20,0
2024-06-25 20:00:00,2317.8,2320.56,2316.82,2319.27,10021,20,0
2024-06-26 00:00:00,2319.32,2323.95,2317.69,2318.41,6940,20,0
2024-06-26 04:00:00,2318.4,2321.56,2310.55,2316.81,21857,20,0
2024-06-26 08:00:00,2316.79,2318.16,2309.64,2315.6,21087,20,0
2024-06-26 12:00:00,2315.7,2318.34,2304.36,2310.1,23146,20,0
2024-06-26 16:00:00,2310.12,2311.57,2293.53,2299.69,31610,20,0
2024-06-26 20:00:00,2299.64,2302.91,2296.9,2298.11,10838,20,0
2024-06-27 00:00:00,2298.52,2300.11,2296.76,2299.02,6055,20,0
2024-06-27 04:00:00,2299.03,2301.12,2296.81,2300.45,14876,20,0
2024-06-27 08:00:00,2300.56,2308.35,2296.5,2307.56,17302,20,0
2024-06-27 12:00:00,2307.51,2325.71,2307.28,2322.79,21934,20,0
2024-06-27 16:00:00,2322.8,2330.89,2319.52,2325.37,31099,20,0
2024-06-27 20:00:00,2325.38,2328.52,2322.45,2327.79,10183,20,0
2024-06-28 00:00:00,2327.79,2328.22,2321.4,2321.61,5085,20,0
